Numer_zgloszenia	Numer_komputera	Czas_awarii	Priorytet
1	365	2015-01-01 04:40:55	8
2	249	2015-01-01 06:08:24	3
3	312	2015-01-01 06:33:43	4
4	275	2015-01-02 00:10:08	5
5	379	2015-01-02 07:10:11	7
6	38	2015-01-02 09:50:45	8
7	265	2015-01-02 11:50:17	2
8	369	2015-01-03 00:01:59	2
9	396	2015-01-03 01:04:00	6
10	39	2015-01-03 04:29:47	8
11	236	2015-01-03 13:01:41	6
12	321	2015-01-03 19:14:52	6
13	247	2015-01-03 20:38:38	7
14	60	2015-01-04 03:01:50	8
15	150	2015-01-04 11:24:58	3
16	372	2015-01-04 14:57:35	8
17	360	2015-01-04 15:36:41	6
18	463	2015-01-04 16:00:14	7
19	413	2015-01-04 17:19:20	7
20	208	2015-01-04 23:30:11	5
21	483	2015-01-05 02:18:59	5
22	352	2015-01-05 05:00:02	4
23	380	2015-01-05 05:45:43	3
24	240	2015-01-05 07:09:24	2
25	321	2015-01-05 08:24:00	8
26	32	2015-01-05 10:19:36	5
27	462	2015-01-05 22:42:46	6
28	53	2015-01-05 22:53:56	6
29	52	2015-01-06 03:39:56	10
30	277	2015-01-06 03:42:59	3
31	314	2015-01-06 07:22:15	6
32	201	2015-01-06 11:25:12	2
33	93	2015-01-06 16:26:06	4
34	450	2015-01-07 08:43:49	3
35	230	2015-01-07 09:11:50	10
36	247	2015-01-08 01:22:44	10
37	198	2015-01-08 04:44:56	5
38	291	2015-01-08 07:19:03	4
39	112	2015-01-08 10:37:29	5
40	480	2015-01-08 15:43:02	10
41	62	2015-01-08 19:58:06	5
42	57	2015-01-08 22:47:26	9
43	90	2015-01-08 22:57:29	7
44	289	2015-01-08 23:31:11	9
45	354	2015-01-09 12:24:11	10
46	166	2015-01-09 22:22:54	5
47	187	2015-01-10 08:38:16	5
48	139	2015-01-10 13:15:03	6
49	253	2015-01-10 14:18:16	9
50	410	2015-01-10 16:34:47	4
51	222	2015-01-10 18:42:55	8
52	43	2015-01-11 02:40:30	9
