
301	U	300
302	L	700
303	Y	200
304	M	140
305	L	300
306	L	300
307	V	300
308	V	200
309	H	300
310	H	140
311	Y	300
312	M	300
313	J	500
314	Y	500
315	E	300
316	R	300
317	J	500
318	E	600
319	G	500
320	M	300
321	I	230
322	J	350
323	Q	210
324	A	230
325	C	160
326	S	300
327	W	220
328	T	700
329	K	700
330	L	300
331	E	290
332	W	160
333	S	300
334	T	150
335	T	300
336	F	300
337	Y	300
338	R	300
339	Y	300
340	I	120
341	J	300
342	A	300
343	N	300
344	T	120
345	M	300
346	V	260
347	F	300
348	K	150
349	S	240
350	O	300
351	U	390
352	E	250
353	S	380
354	Q	270
355	I	600
356	O	290
357	Y	300
358	P	500
359	G	500
360	F	300
361	V	600
362	M	600
363	U	330
364	J	300
365	Z	800
366	P	340
367	I	290
368	Z	800
369	T	300
370	S	290
371	H	240
372	V	700
373	U	300
374	S	260
375	W	150
376	E	300
377	Q	300
378	Q	220
379	Z	300
380	I	300
381	E	600
382	Z	330
383	N	700
384	F	700
385	G	800
386	T	400
387	Y	300
388	M	330
389	D	600
390	L	300
391	B	300
392	H	200
393	U	300
394	J	600
395	P	800
396	F	300
397	V	300
398	S	230
399	Y	310
400	N	400
401	T	600
402	F	300
403	U	300
404	V	800
405	T	290
406	T	250
407	E	260
408	B	600
409	R	100
410	E	290
411	H	400
412	M	370
413	X	280
414	Y	300
415	Y	300
416	Y	210
417	T	300
418	C	700
419	A	600
420	N	190
421	H	200
422	E	260
423	I	390
424	G	390
425	C	370
426	I	390
427	I	300
428	X	200
429	W	300
430	Q	190
431	M	700
432	I	300
433	P	800
434	B	250
435	P	110
436	D	300
437	F	800
438	P	300
439	R	300
440	G	300
441	D	100
442	E	300
443	Q	100
444	U	500
445	E	700
446	R	110
447	H	200
448	B	300
449	F	300
450	E	300
451	T	300
452	R	210
453	F	220
454	I	230
455	S	240
456	Y	260
457	B	300
458	Q	300
459	Q	210
460	H	350
461	E	120
462	H	240
463	V	190
464	N	220
465	N	300
466	D	220
467	S	500
468	U	700
469	H	390
470	Z	500
471	A	300
472	K	200
473	J	500
474	H	260
475	M	150
476	A	220
477	K	370
478	S	300
479	Z	300
480	B	270
481	O	500
482	X	700
483	X	300
484	D	300
485	I	250
486	T	300
487	X	300
488	P	310
489	Y	300
490	C	200
491	H	300
492	J	200
493	G	380
494	C	300
495	F	210
496	V	300
497	I	240
498	Z	300
499	D	300
500	L	300
