AAGHEIM Morten	Norwegia
AARAAS Jon	Norwegia
AHONEN Janne	Finlandia
ALBORN Alan	USA
AMMANN Simon	Szwajcaria
ANISIMOV Maksim	Bialorus
AREN Andreas	Szwecja
AUDENRIETH Roland	Niemcy
BACHLEDA Marcin	Polska
BADER Ferdinand	Niemcy
BARDAL Anders	Norwegia
BAUMGARTNER Andreas	Austria
BENKOVIC Rok	Slowenia
BODMER Pascal	Niemcy
BOGATAJ Jure	Slowenia
BOGNER Tobias	Niemcy
BOSHCHUK Volodymyr	Ukraina
BRACHT Kai	Niemcy
BRENDEN Kristian	Norwegia
BRUDER Christian	Niemcy
BYSTOEL Lars	Norwegia
CECON Roberto	Wlochy
CHAADAEV Petr	Bialorus
CHEDAL Emmanuel	Francja
CHIAPOLINO Stefano	Wlochy
CHOI Heung-Chul	Korea
CHOI Yong-Jik	Korea
CIKL Martin	Czechy
COLLOREDO Sebastian	Wlochy
DAMJAN Anze	Slowenia
DAMJAN Jernej	Slowenia
DELLASEGA Roberto	Wlochy
DESCOMBES SEVOIE Vincent	Francja
DESSUM Nicolas	Francja
DLUGOPOLSKI Krystian	Polska
DOENNEM Olav Magne	Norwegia
DOLEZAL Michal	Czechy
DUFFNER Christof	Niemcy
EGGENHOFER Markus	Austria
ELSE Dirk	Niemcy
ENGER Ole Christen	Norwegia
ERIKSON Johan	Szwecja
EVENSEN Johan Remen	Norwegia
FAIRALL Nicholas	USA
FANNEMEL Anders	Norwegia
FATCHULLIN Ildar	Rosja
FETTNER Manuel	Austria
FILIMONOV Stanislav	Kazachstan
FORFANG Daniel	Norwegia
FRAS Damjan	Slowenia
FREIHOLZ Sylvain	Szwajcaria
FREITAG Richard	Niemcy
FREUND Severin	Niemcy
FUKITA Yukitaka	Japonia
FUNAKI Kazuyoshi	Japonia
GANGNES Kenneth	Norwegia
GOLDBERGER Andreas	Austria
GRILLHOESL Christoph	Niemcy
GRIMHOLM Isak	Szwecja
HAFELE Mathias	Austria
HAJEK Antonin	Czechy
HAKOLA Lauri	Finlandia
HANNAWALD Sven	Niemcy
HANSEN Kim-Roar	Norwegia
HAPPONEN Janne	Finlandia
HARADA Masahiko	Japonia
HAUTAMAEKI Jussi	Finlandia
HAUTAMAEKI Matti	Finlandia
HAYBOECK Michael	Austria
HERR Alexander	Niemcy
HIGASHI Akira	Japonia
HILDE Tom	Norwegia
HILDE Tom	Norwegia
HLAVA Jakub	Czechy
HLAVA Lukas	Czechy
HOCKE Stephan	Niemcy
HOELLWARTH Martin	Austria
HORLACHER Kevin	Niemcy
HORNGACHER Stefan	Austria
HRGOTA Robert	Slowenia
HULA Stefan	Polska
HUUSKONEN Lassi	Finlandia
ICHINOHE Tsuyoshi	Japonia
IKONEN Joonas	Finlandia
INGEBRIGTSEN Tommy	Norwegia
INNAUER Mario	Austria
IPATOV Dimitri	Rosja
ITO Daiki	Japonia
ITO Kenshiro	Japonia
JAAFS Kristoffer	Szwecja
JACOBSEN Anders	Norwegia
JAEKLE Hansjoerg	Niemcy
JANDA Jakub	Czechy
JIROUTEK Jakub	Czechy
JOHNSON Anders	USA
JONES Clint	USA
JURIS Jaan	Estonia
JUSSILAINEN Risto	Finlandia
KAISER Stefan	Austria
KALINITSCHENKO Anton	Rosja
KALTENBOECK Bastian	Austria
KANEKO Yusuke	Japonia
KANG Chil Gu	Korea
KANTEE Ville	Finlandia
KARAULOV Ivan	Kazachstan
KARELIN Pavel	Rosja
KARPENKO Nikolay	Kazachstan
KASAI Noriaki	Japonia
KEITURI Kalle	Finlandia
KIM Hyun-Ki	Korea
KIURU Tami	Finlandia
KOBELEV Valery	Rosja
KOCH Martin	Austria
KOFLER Andreas	Austria
KOKKONEN Akseli	Norwegia
KORNILOV Denis	Rosja
KOROLEV Alex	Kazachstan
KOUDELKA Roman	Czechy
KOVALJEFF Kai	Finlandia
KRANJEC Robert	Slowenia
KREUZER Christoph	Holandia
KRUCZEK Lukasz	Polska
KUETTEL Andreas	Szwajcaria
LACKNER Daniel	Austria
LANDERT Guido	Szwajcaria
LAPPI Arttu	Finlandia
LARINTO Ville	Finlandia
LAZAROVYCH Oleksandr	Ukraina
LAZZARONI David	Francja
LIE Haavard	Norwegia
LIEGL Florian	Austria
LINDSTROEM Veli-Matti	Finlandia
LJOEKELSOEY Roar	Norwegia
LOEFFLER Frank	Niemcy
LOITZL Wolfgang	Austria
MALYSZ Adam	Polska
MATEJA Robert	Polska
MATURA Jan	Czechy
MAYER Nicolas	Francja
MAYR Ingemar	Holandia
MAZOCH Jan	Czechy
MAZOCH Jiri	Czechy
MECHLER Maximilian	Niemcy
MEDVED Igor	Slowenia
MESIK Martin	Slowacja
METZLER Bernhard	Austria
MEZNAR Mitja	Slowenia
MIETUS Grzegorz	Polska
MIETUS Krzysztof	Polska
MIYAHIRA Hideharu	Japonia
MOELLINGER Michael	Szwajcaria
MORASSI Andrea	Wlochy
MORGENSTERN Thomas	Austria
MUELLER Lukas	Austria
MUELLER Roland	Austria
MUNTERS Johan	Szwecja
MUOTKA Olli	Finlandia
MUSIOL Julian	Niemcy
NAGILLER Christian	Austria
NAKAMURA Kazuhiro	Japonia
NEUMAYER Michael	Niemcy
NIEMI Sami	Finlandia
NIEMINEN Toni	Finlandia
OKABE Takanobu	Japonia
OKAMURA Sota	Japonia
OLLI Harri	Finlandia
OTTESEN Lasse	Norwegia
PAULI Arthur	Austria
